Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
5/12/13,38,Ozone,Bates,21-111-0027,AQS,.,38,9,10,16,.
5/13/13,49,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,49,9,16,31,.
5/14/13,80,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,.,80,56,28,45,.
5/15/13,108,Ozone,BUCKNER,21-185-0004,AQS,.,108,66,27,53,.
5/16/13,59,SO2,Fire Arms Training,21-111-1041,AQS,.,45,59,28,57,.
5/17/13,71,PM2.5,Southwick,21-111-0043,AQS,.,43,36,25,71,.
5/18/13,56,PM2.5,Southwick,21-111-0043,AQS,.,39,17,15,56,.
5/19/13,60,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,49,16,19,60,.
5/20/13,61,PM2.5,Southwick,21-111-0043,AQS,.,35,27,20,61,.
5/21/13,52,PM2.5,Southwick,21-111-0043,AQS,.,45,17,18,52,.
5/22/13,40,Ozone,Bates,21-111-0027,AQS,.,40,21,14,30,.
5/23/13,34,PM2.5,Southwick,21-111-0043,AQS,.,26,10,13,34,.
5/24/13,41,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,41,4,11,34,.
5/25/13,48,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,.,48,6,15,45,.
5/26/13,47,PM2.5,Southwick,21-111-0043,AQS,.,46,6,13,47,.
5/27/13,55,PM2.5,Southwick,21-111-0043,AQS,.,54,14,18,55,.
5/28/13,55,PM2.5,Southwick,21-111-0043,AQS,.,49,29,21,55,.
5/29/13,57,PM2.5,Southwick,21-111-0043,AQS,.,47,21,21,57,.
5/30/13,58,PM2.5,Southwick,21-111-0043,AQS,.,39,27,22,58,.
5/31/13,49,PM2.5,Southwick,21-111-0043,AQS,.,28,19,16,49,.
6/1/13,39,Ozone,Bates,21-111-0027,AQS,.,39,29,10,29,.
6/2/13,37,Ozone,Bates,21-111-0027,AQS,.,37,10,11,36,.
